eid,title,doi,year,journal,all_countries
2-s2.0-0347767477,"The distribution of tuberculin reaction among children at school entry in Madaba, Jordan",,1996,Eastern Mediterranean Health Journal,Iraq; Jordan
2-s2.0-0011943412,Metabolizable energy requirements for maintenance and growth of Awassi lambs,10.1016/0921-4488(95)00775-X,1996,Small Ruminant Research,Iraq; Jordan
2-s2.0-0030104084,Study of Hall effect on laminated carbon fibre-epoxy composite,10.1007/bf00275428,1996,Journal of Materials Science Letters,Iraq; Jordan
2-s2.0-0002645450,"Synthesis, characterization and cytotoxic activity of diorganotin(IV) complexes with 4H-pyrido[1,2-a]pyrimidin-4-one derivatives",10.1002/(SICI)1099-0739(199602)10:1<47::AID-AOC476>3.0.CO;2-3,1996,Applied Organometallic Chemistry,Iraq; Jordan
2-s2.0-0030512338,"Molecular complexes of crown ethers, part 4: Complexes of crown ethers with picric acid",10.1007/BF01044999,1996,Journal of Inclusion Phenomena and Molecular Recognition in Chemistry,Iraq; Jordan
2-s2.0-26444482437,"Copolymerization of N-acryloylpiperidine with Acrylic Acid, methyl methacrylate, and styrene",10.1080/10601329608020383,1996,Journal of Macromolecular Science Pure and Applied Chemistry,Iraq; Jordan
2-s2.0-0029770559,Optical properties of epoxy-glass microballoons composite,10.1016/0925-3467(95)00033-X,1996,Optical Materials,Iraq; Jordan
2-s2.0-1842586662,"The Mass Spectral Fragmentation of some 2,3-Dihydro-5-trifluoromethyl-7-(p-R-phenyl)-1,4-diazepines",10.1007/BF00807572,1996,Monatshefte Fur Chemie,Iraq; Jordan
2-s2.0-1842425192,The Photogalvanic Effect of Fe(II)-β-Diketonate/Thionine Systems in Aqueous Acetonitrile,10.1007/BF00810879,1996,Monatshefte Fur Chemie,Iraq; Jordan
2-s2.0-2742542165,Carbon-13 NMR of some new substituted 2- amino benzotheazoles,10.1080/00387019608007148,1996,Spectroscopy Letters,Iraq; Jordan
2-s2.0-0030538432,Platinum Group Metal Schiff-base Complexes Part II: Palladium and Nickel Complexes,,1996,Asian Journal of Chemistry,Iraq; Jordan
2-s2.0-0000295759,Diorganotin(IV) complexes of some schiff bases with a potential biological activity,10.1002/(SICI)1099-0739(199609)10:7<545::AID-AOC494>3.0.CO;2-V,1996,Applied Organometallic Chemistry,Iraq; Jordan
2-s2.0-0031210646,Calculation of machine-slot parameters by complementary variational technique,10.1080/07313569708955775,1997,Electric Machines and Power Systems,Iraq; Jordan
2-s2.0-0031208122,Bandwidth improvement of a homojunction p-i-n photodiode,10.1109/3.605555,1997,IEEE Journal of Quantum Electronics,Iraq; Jordan; Oman; United States
2-s2.0-0031505457,"Synthesis, Characterization and Cytotoxic Activity of New Platinum(II) Complexes with Some Nitrogen Containing Ligands, Part (2): With 3,5-Dimethylpyrazole",,1997,Asian Journal of Chemistry,Iraq; Jordan
2-s2.0-0001054085,Synthesis and properties of a chelating resin containing a salicylaldimine group,10.1080/10601329708010035,1997,Journal of Macromolecular Science Pure and Applied Chemistry,Iraq; Jordan
2-s2.0-0031494197,Diorganotin(IV) dichloride complexes of some N-arylfurfuralnitrones,10.1080/00945719708000241,1997,Synthesis and Reactivity in Inorganic and Metal Organic Chemistry,Iraq; Jordan
2-s2.0-0031504999,Palladium(II) and Platinum(II) Complexes with Arylthioethenes,,1997,Asian Journal of Chemistry,Iraq; Jordan
2-s2.0-0032390768,Histoplasma farciminosum infection of horses in Iraq,,1998,Veterinarski Arhiv,Iraq; Jordan
2-s2.0-3042983972,In vitro antitumour activity of platinum(II) complexes with various nitrogen containing ligands,,1998,Biologia,Iraq; Jordan
2-s2.0-0031689341,Insecticidal and ovicidal effects of the seed extract of Atriplex canescens against Culex quinquefasciatus,10.1076/phbi.36.1.69.4621,1998,Pharmaceutical Biology,Iraq; Jordan; Libya
2-s2.0-0032353324,"Glanders in horses: Clinical, biochemical and serological studies in Iraq",,1998,Veterinarski Arhiv,Iraq; Jordan
2-s2.0-0032122076,Characteristic analysis of resonant-cavity-enhanced (RCE) photodetectors,10.1109/3.687854,1998,IEEE Journal of Quantum Electronics,Iraq; Jordan; Oman; Sudan; United States
2-s2.0-0032283320,Histomorphologic observations on the blood supply of the ovaries of she-camel (Camelus dromedarius),,1998,Journal of Camel Practice and Research,Iraq; Jordan
2-s2.0-0031994044,"Dimethyltin(IV) carboxylate compounds; synthesis, characterization and in vitro cytotoxic activity",,1998,Bollettino Chimico Farmaceutico,Iraq; Jordan
2-s2.0-0032321685,Synthesis and cytotoxic evaluation of the first trans-palladium(II) complex with naturally occurring alkaloid harmine,10.1016/S0223-5234(99)80033-6,1998,European Journal of Medicinal Chemistry,Iraq; Jordan
2-s2.0-0032382043,"Organotin(IV) Complexes of Some 2-Pyrazoline Derivatives, Part (II): PhSnCl3 and SnCl4 Complexes",,1998,Asian Journal of Chemistry,Iraq; Jordan
2-s2.0-0346225701,Search strategies for the acquisition of DS spread spectrum signals,10.1080/002072198134850,1998,International Journal of Electronics,Iraq; Jordan
2-s2.0-85057966967,Optimizing the flow rate of pumping Iraqi crude oil inside pipelines using a new drag reducing additive,,1998,Annual Technical Meeting ATM 1988,Iraq; Jordan
2-s2.0-0031988498,Determination of the Type of Charge Carriers in Carbon Fiber/Polymer Composite,10.1016/S0142-9418(97)00041-X,1998,Polymer Testing,Iraq; Jordan
2-s2.0-33847244013,Chemical properties and cytotoxic activity of complexes of platinum(II) and palladium(II) containing dmso and various anions; synthesis and structural characterization of [Pt(dmso)2{O2(CO)2CCH2CH 2CH2}],10.1023/A:1006942125847,1998,Transition Metal Chemistry,Iraq; Jordan
2-s2.0-0032807890,Cytotoxic activity against a series of tumour cell lines of dimethyltin dichloride complexes with various donor ligands,,1999,Bollettino Chimico Farmaceutico,Iraq; Jordan
2-s2.0-0006063115,Heterobimetallic complexes of platinum(II) with diferrocenylphenylphosphine and their in vitro activity against P388 leukaemia,10.1002/(SICI)1099-0739(199901)13:1<63::AID-AOC815>3.0.CO;2-1,1999,Applied Organometallic Chemistry,Iraq; Jordan
2-s2.0-0033407034,"Kinetics of the Acetyl Migration in Some Adducts of Acetyl-1,4-Benzoquinones: Part III",,1999,Asian Journal of Chemistry,Iraq; Jordan
2-s2.0-0033441728,"Reactions of organotin (IV) compounds with platinum complexes part (I): Oxidative-addition reactions of SnRxCl4-x with [Pt(PR3′)n], R′ = Et, n = 3 or 4 and R′ = Cyc, n = 2",,1999,Asian Journal of Chemistry,Iraq; Jordan
2-s2.0-0032885032,"Synthesis and antiviral activity of 1,5- and 1,3-dialkyl-1,2,4-triazole C-nucleosides derived from 1-(chloroalkyl)-1-aza-2-azoniaallene salts",10.1080/07328319908044859,1999,Nucleosides and Nucleotides,Iraq; Jordan
2-s2.0-0030689260,A management model for technology and R&D selection,10.1504/ijtm.1997.001690,1997,International Journal of Technology Management,Iraq; Kuwait; United Kingdom; United States
2-s2.0-28144461513,A 10 year review of the endoscopic treatment of 125 spinal cord injured patients with vesical outlet obstruction: Does bladder neck dyssynergia exist?,10.1038/sc.1996.6,1996,Paraplegia,Iraq; Libya
2-s2.0-0030743909,Experience with 30 posttraumatic rectourethral fistulas: Presentation of posterior transsphincteric anterior rectal wall advancement,10.1016/S0022-5347(01)64493-8,1997,Journal of Urology,Iraq; Libya
2-s2.0-0011219399,Synthesis and Polycondensation of Some New Organic Tellurium Compounds Containing Mono- and Di-amino Groups,10.1002/(SICI)1099-0739(199802)12:2<79::AID-AOC667>3.0.CO;2-E,1998,Applied Organometallic Chemistry,Iraq; Libya
2-s2.0-0027283022,Synthesis of some novel 1-(5-thio-β-d-glucopyranosyl)-6-azauracil derivatives - thiosugar nucleosides,10.1080/07328319308021503,1993,Nucleosides and Nucleotides,Iraq; Morocco
2-s2.0-0025749954,Effect of loading rate on fracture toughness of bonded joints,10.1016/0013-7944(91)90110-M,1991,Engineering Fracture Mechanics,Iraq; Saudi Arabia
2-s2.0-0002923120,Mesh selection in collocation for boundary value problems,10.1093/imanum/11.1.7,1991,IMA Journal of Numerical Analysis,Iraq; Saudi Arabia; United Kingdom
2-s2.0-0030888775,Transverse testicular ectopia: Report of three cases,10.1007/BF01350011,1997,Pediatric Surgery International,Iraq; Saudi Arabia
2-s2.0-0030679768,Evaluation of Teknaf Enteric Agar (TEA): A modified MacConkey's Agar for the isolation of Shigella dysenteriae type 1 and Shigella flexneri,10.1093/tropej/43.5.307,1997,Journal of Tropical Pediatrics,Bangladesh; Iraq; Saudi Arabia
2-s2.0-0033137554,Effect of preheated corn oil as fuel on diesel engine performance,,1999,AMA Agricultural Mechanization in Asia Africa and Latin America,Iraq; Turkey
2-s2.0-0032718171,Sublingual human insulin for hyperglycaemia in type I diabetes,,1999,Journal of the Pakistan Medical Association,Iraq; United Arab Emirates
2-s2.0-0025693429,Experimental investigation of frictional noise and surface-roughness characteristics,10.1007/BF02321499,1990,Experimental Mechanics,Jordan; Kuwait
2-s2.0-0025495191,Surface-roughness measurement using dry friction noise,10.1007/BF02322828,1990,Experimental Mechanics,Jordan; Kuwait
2-s2.0-0025352628,"Autosomal recessive ataxia, slow eye movements, dementia and extrapyramidal disturbances",10.1016/0022-510X(90)90132-7,1990,Journal of the Neurological Sciences,Jordan; Kuwait
2-s2.0-0025049849,Cloning of the E. coli O-acetylserine sulfhydrylase gene: ability of the clone to produce a mutagenic product from azide and O-acetylserine,10.1016/0165-7992(90)90043-J,1990,Mutation Research Letters,Jordan; Kuwait
2-s2.0-33748656406,"Quasirelativistic Effects in the Electronic Structure of the Thiomolybdate and Thiotungstate Complexes of Nickel, Palladium, and Platinum",10.1021/ic00012a007,1991,Inorganic Chemistry,Jordan; Kuwait
2-s2.0-0026132337,An in vivo stndy on the release of fluoride from glass-ionomer cement,,1991,Quintessence International,Jordan; Kuwait
2-s2.0-84972526294,On solvability of systems of convolution equations in K′M,10.14492/hokmj/1381413978,1991,Hokkaido Mathematical Journal,Jordan; Kuwait
2-s2.0-0026088337,Human heart sarcolemmal sheath antibodies in children with non-suppurative sequelae of group A streptococcal infections: A follow up study,10.1136/ard.50.11.752,1991,Annals of the Rheumatic Diseases,Jordan; Kuwait
2-s2.0-84881161094,Algebraic characterization of distributions of rapid growth,10.1216/rmjm/1181072650,1992,Rocky Mountain Journal of Mathematics,Jordan; Kuwait
2-s2.0-3042951023,A novel thermotolerant methylotrophic Bacillus sp. and its potential for use in single-cell protein production,10.1007/BF01201882,1992,World Journal of Microbiology Biotechnology,Jordan; Kuwait; United Arab Emirates
2-s2.0-0027088950,Hydro-behaviour of Middle Eastern desert soils,10.1016/0022-1694(92)90154-N,1992,Journal of Hydrology,Jordan; Kuwait
2-s2.0-0029120819,Letters to the editor,10.1093/tropej/41.4.252,1995,Journal of Tropical Pediatrics,Jordan; Kuwait; United Arab Emirates
2-s2.0-0029668907,Potential fate of G-nerve chemical warfare agents in the coastal waters of the Arabian Gulf,10.1016/0141-1136(95)00151-4,1996,Marine Environmental Research,Jordan; Kuwait
2-s2.0-0031215250,Efficient full wave analysis of transition from microstrip to microstrip through an aperture,10.1002/(sici)1522-6301(199709)7:5<380::aid-mmce7>3.0.co;2-l,1997,International Journal of RF and Microwave Computer Aided Engineering,Canada; Jordan; Kuwait
2-s2.0-0032453630,Incoming longwave radiation enhancement by cloud cover,10.1080/02723646.1998.10642650,1998,Physical Geography,Jordan; Kuwait
2-s2.0-0033396738,Static image telepathology in routine surgical pathology diagnosis: A report on the first experience in the Arab world from Kuwait,10.1159/000026102,1999,Medical Principles and Practice,Jordan; Kuwait
2-s2.0-0344105558,Changes in Seed Reserves and Cell Wall Composition of Component Organs During Germination of Cabbage (Brassica oleracea) Seeds,10.1016/S0176-1617(11)81319-2,1991,Journal of Plant Physiology,Jordan; Lebanon
2-s2.0-0027686383,A wastewater treatment system with optimal control of biomass starvation,10.1080/10934529309375975,1993,Journal of Environmental Science and Health Part A Environmental Science and Engineering and Toxicology,Jordan; Lebanon
2-s2.0-84981508610,"Economic importance and cycle of Polystigma ochraceum, causing red leaf blotch disease of almond, in Lebanon",10.1111/j.1365-2338.1997.tb00669.x,1997,EPPO Bulletin,Jordan; Lebanon
2-s2.0-0032464791,"Photoprotective effects of some quinoxaline 1,4-dioxides in hairless mice",10.1007/BF02787210,1998,Medical Oncology,Jordan; Lebanon
2-s2.0-0030561076,Experimental determination of the optimal location and contraction of sedimentation tank baffles,10.1007/bf00283562,1996,Water Air and Soil Pollution,Jordan; Libya
2-s2.0-2442553158,Incidence of salmonella infection among neonates in a pediatric hospital,,1998,Saudi Medical Journal,Jordan; Libya
2-s2.0-0033440882,Vibration-rotation components in the deuterated methyl acetylene (CD3CCD) molecule for the Δ J = 3 ← 2 and Δ J = 2 ← 1 rotational transitions in the v9 = 1 and 3 and the v10 = 1 and 2 vibrations,,1999,Journal of the Korean Physical Society,Jordan; Morocco
2-s2.0-0030411840,Temperature dependence of the excess entropy for liquid alloys,10.1080/00319109608030548,1996,Physics and Chemistry of Liquids,Jordan; Oman
2-s2.0-0030104370,Sorting problems of the standard Arabic character set,10.1016/0920-5489(95)00043-7,1996,Computer Standards and Interfaces,Jordan; Oman
2-s2.0-0030404396,Swelling-shrinkage behavior of natural expansive clays,10.1016/S0169-1317(96)00009-9,1996,Applied Clay Science,Jordan; Oman
2-s2.0-0030759802,Comparative bioavailability of two capsule formulations of mefenamic acid,,1997,International Journal of Clinical Pharmacology and Therapeutics,Jordan; Oman
2-s2.0-85027096658,Cyclic swelling behavior of clays: Closure,10.1061/(asce)1090-0241(1997)123:8(785),1997,Journal of Geotechnical and Geoenvironmental Engineering,Jordan; Oman
2-s2.0-0031177655,AC characteristics of optically controlled MESFET (OPFET),10.1109/50.596967,1997,Journal of Lightwave Technology,Jordan; Oman
2-s2.0-0030981369,Pharmacokinetic behavior of two tablet formulations of mefenamic acid in healthy volunteers,,1997,Saudi Pharmaceutical Journal,Jordan; Oman
2-s2.0-0001135682,"Mutagenic activity of rhodium(III) complexes with 2,2′-biquinoline and 2-(2′-pyridyl)quinoline",10.1016/S0277-5387(96)00437-8,1997,Polyhedron,Jordan; Oman
2-s2.0-0030708791,Comparative pharmacokinetics of two nifedipine products in capsule form following single oral administration in healthy volunteers,10.1007/BF03189816,1997,European Journal of Drug Metabolism and Pharmacokinetics,Jordan; Oman
2-s2.0-0002173077,An efficient method to determine linear feedback connections in shift registers that generate maximal length pseudo-random up and down binary sequences,10.1016/S0045-7906(96)00020-1,1997,Computers and Electrical Engineering,India; Jordan; Oman
2-s2.0-0031416573,Laboratory studies on factors that influence the strength of reinforced cemented sand,10.2113/gseegeosci.iii.3.411,1997,Environmental and Engineering Geoscience,Jordan; Oman
2-s2.0-0033497607,Electrical resistivity of alkali-lead binary alloys,10.1080/00319109908035955,1999,Physics and Chemistry of Liquids,Jordan; Oman
2-s2.0-3042987844,On the reaction of nitrilium salts with tropones,,1996,Advanced Synthesis and Catalysis,Jordan; Palestine
2-s2.0-0346057522,Numerical calculation of the magnetodielectric anisotropy effect in magnetic fluids,10.1103/PhysRevB.54.13063,1996,Physical Review B Condensed Matter and Materials Physics,Jordan; Palestine
2-s2.0-33750178129,On the reaction of nitrilium salts with tropones,10.1002/prac.199633801116,1996,Journal Fur Praktische Chemie Chemiker Zeitung,Jordan; Palestine
2-s2.0-0346441783,The instability of the cinnabar phase of ZnS under high pressure,10.1088/0953-8984/10/23/011,1998,Journal of Physics Condensed Matter,Jordan; Palestine
2-s2.0-27844563358,High-pH waters and their chemical equilibrium with the different rocks and mineral phases from Maqarin Area/North Jordan,10.1127/njgpa/208/1998/115,1998,Neues Jahrbuch Fur Geologie Und Palaontologie Abhandlungen,Jordan; Palestine
2-s2.0-0031981686,Effect of sucrose level on in vitro and ex vitro growth of African violet (Saintpaulia ionantha Wendl),,1998,Advances in Horticultural Science,Jordan; Palestine
2-s2.0-0038683933,Mass spectral study of tauotomerism in some schiff bases,10.1080/00387019808003294,1998,Spectroscopy Letters,Jordan; Qatar
2-s2.0-0032957796,Antimicrobial activity of extracts of herbal plants used in the traditional medicine of Jordan,10.1016/S0378-8741(98)00132-9,1999,Journal of Ethnopharmacology,Jordan; Qatar
2-s2.0-0032622598,"Molecular complexes of crown ethers, Part 6: Complexes of Cryptand (2,2,2) and Kryptofix 5 with some acceptors",10.1023/A:1008045927013,1999,Journal of Inclusion Phenomena,Jordan; Qatar
2-s2.0-0032851234,Multivariate and principal component statistical analysis of contamination in urban and agricultural soils from north Jordan,10.1007/s002540050424,1999,Environmental Geology,Jordan; Qatar
2-s2.0-0032622843,"Molecular complexes of crown ethers, part 5: Complexes of DB18C6 with some acceptors",10.1023/A:1008096210619,1999,Journal of Inclusion Phenomena,Jordan; Qatar
2-s2.0-0025488508,On the Concentration Dependence of Faraday Rotation in Magnetic Fluids,10.1109/20.104896,1990,IEEE Transactions on Magnetics,Jordan; Saudi Arabia
2-s2.0-0025477283,Real-time identification of III conditioned structures,10.1115/1.2919854,1990,Journal of Offshore Mechanics and Arctic Engineering,Jordan; Saudi Arabia
2-s2.0-0026309836,Reuse of Wastewater Effluent for Irrigation in Severely arid Regions: Alternative Schemes — A Case Study,10.1080/07900629108722519,1991,International Journal of Water Resources Development,Jordan; Saudi Arabia
2-s2.0-85024546695,Free vibration characteristics of structures with nonlinear underlying soil,10.1115/1.2930161,1991,Journal of Vibration and Acoustics Transactions of the ASME,Jordan; Saudi Arabia
2-s2.0-0026104020,A study of a multidimensional transient heat conduction process with a moving heat source part 2: Numerical and experimental,10.1080/09603409.1991.11689639,1991,Materials at High Temperatures,Jordan; Saudi Arabia
2-s2.0-34248850731,A comparative study of Swahili ni and Arabic kāna as copulative elements,10.1016/0388-0001(91)90003-J,1991,Language Sciences,Jordan; Saudi Arabia
2-s2.0-0026204775,Design of two-dimensional recursive digital filters with finite wordlength coefficients,10.1080/00207219108925468,1991,International Journal of Electronics,Jordan; Saudi Arabia
2-s2.0-0026820891,Damping and synchronizing torque computation in multimachine power systems,10.1109/59.141715,1992,IEEE Transactions on Power Systems,Jordan; Saudi Arabia
2-s2.0-0026854357,Hot carrier lifetime and trap cross-section in MOSFET oxide,10.1080/00207219208925597,1992,International Journal of Electronics,Jordan; Saudi Arabia
2-s2.0-0026977116,Transient forced convection in the entrance region of concentric annuli,10.1016/0017-9310(92)90220-M,1992,International Journal of Heat and Mass Transfer,Jordan; Saudi Arabia
2-s2.0-0037602483,Electromechanical modelling of overhead cranes,10.1080/00207729208949446,1992,International Journal of Systems Science,Jordan; Saudi Arabia
2-s2.0-0027799604,The inverted trickle flat plate solar collector,10.1080/01425919308909794,1993,International Journal of Solar Energy,Jordan; Saudi Arabia
2-s2.0-38249002506,Damping and synchronizing torques of closely coupled generators,10.1016/0378-7796(93)90013-5,1993,Electric Power Systems Research,Jordan; Saudi Arabia
2-s2.0-0028214389,Struma ovarii with pseudo-Meigs' syndrome: report of a case and review of the literature,10.1016/0028-2243(94)90039-6,1994,European Journal of Obstetrics and Gynecology and Reproductive Biology,Jordan; Saudi Arabia
2-s2.0-84947650807,Boosting Aeroengine Thrust by Using Ramjets,10.1108/eb037524,1994,Aircraft Engineering and Aerospace Technology,Jordan; Saudi Arabia
2-s2.0-0029328707,Transient conjugated heat transfer in concentric annuli,10.1108/EUM0000000004073,1995,International Journal of Numerical Methods for Heat Fluid Flow,Jordan; Saudi Arabia
2-s2.0-0029300787,A visual method of determining marginal placement of crowns: Part I. Marginal placement of anterior crowns,,1995,Quintessence International,Jordan; Saudi Arabia
2-s2.0-0029240029,Induced flow in isothermally heated vertical annuli with two rotating boundaries,10.1016/0142-727X(94)00003-U,1995,International Journal of Heat and Fluid Flow,Jordan; Saudi Arabia
2-s2.0-0002911833,Analytical solution for transient laminar fully developed free convection in vertical channels,10.1007/s002310050017,1995,Heat and Mass Transfer,Jordan; Saudi Arabia
2-s2.0-0029267629,"Time‐resolved fluorescence study of 4‐dimethylaminobenzonitrile in nonhydrogen‐bonding polymers, using picosecond dye laser pulses as excitation source",10.1002/polb.1995.090330422,1995,Journal of Polymer Science Part B Polymer Physics,Jordan; Saudi Arabia
2-s2.0-0029373780,Solid-state control of a wind-driven self-excited induction generator,10.1080/07313569508955644,1995,Electric Machines and Power Systems,Jordan; Saudi Arabia
2-s2.0-0029312265,A visual method of determining marginal placement of crowns: Part II. Marginal placement of posterior crowns,,1995,Quintessence International,Jordan; Saudi Arabia
2-s2.0-0029274992,Damping and synchronizing torques of salient-pole generators with accurate representation of saturation,10.1109/60.372562,1995,IEEE Transactions on Energy Conversion,Jordan; Saudi Arabia
2-s2.0-0030256594,Failure of dental bridges: III - Effect of some technical factors,,1996,Journal of Oral Rehabilitation,Jordan; Saudi Arabia
2-s2.0-0029774231,Analysis and design of mushroom slabs with a strut-tie model,10.1016/0045-7949(95)00135-4,1996,Computers and Structures,Jordan; Saudi Arabia
2-s2.0-0030157753,Failure of dental bridges. II. Prevalence of failure and its relation to place of construction,10.1111/j.1365-2842.1996.tb00875.x,1996,Journal of Oral Rehabilitation,Jordan; Saudi Arabia
2-s2.0-0030124319,Failure of dental bridges. I. Age and sex of patients and distribution of replaced and abutment teeth,10.1111/j.1365-2842.1996.tb00853.x,1996,Journal of Oral Rehabilitation,Jordan; Saudi Arabia
2-s2.0-0030529319,Movement and wayfinding in the King Saud University built environment: A look at freshman orientation and environmental information,10.1006/jevp.1996.0026,1996,Journal of Environmental Psychology,Jordan; Saudi Arabia
2-s2.0-0030125633,Temperature and soot concentration in a high soot density flame,10.1016/0017-9310(95)00194-8,1996,International Journal of Heat and Mass Transfer,Jordan; Saudi Arabia
2-s2.0-21544484068,On the contraceptive effect of castor beans,10.1076/phbi.35.1.63.13268,1997,Pharmaceutical Biology,Jordan; Saudi Arabia
2-s2.0-0031136915,Failure of dental bridges. IV. Effect of supporting periodontal ligament,10.1111/j.1365-2842.1997.tb00346.x,1997,Journal of Oral Rehabilitation,Jordan; Saudi Arabia
2-s2.0-0031394142,Vernacular architecture education in the Islamic society of Saudi Arabia: Towards the development of an authentic contemporary built environment,10.1016/S0197-3975(96)00056-2,1997,Habitat International,Jordan; Saudi Arabia
2-s2.0-24044459310,Laminar forced convection about rotating bodies at low Pr-number,10.1007/s002310050163,1997,Heat and Mass Transfer Waerme Und Stoffuebertragung,Jordan; Saudi Arabia
2-s2.0-0031311743,Decontamination of chicken carcasses artificially contaminated with Salmonella,10.20506/rst.16.3.1074,1997,OIE Revue Scientifique Et Technique,Jordan; Saudi Arabia
2-s2.0-0012574215,Fluorescence of 4-dimethylaminobenzonitrile in β-cyclodextrin cavities: Evidence for self-complexes,,1997,Arabian Journal for Science and Engineering,Jordan; Saudi Arabia
2-s2.0-0032204977,HVDC converter using self-commutated devices,10.1109/63.728343,1998,IEEE Transactions on Power Electronics,Jordan; Saudi Arabia
2-s2.0-0032158588,Effect of denture thickness on tooth movement during processing of complete dentures,10.1046/j.1365-2842.1998.00300.x,1998,Journal of Oral Rehabilitation,Jordan; Saudi Arabia
2-s2.0-0031666207,Role of endoscopic retrograde cholangiopancreatography before and after laparoscopic cholecystectomy,10.5144/0256-4947.1998.117,1998,Annals of Saudi Medicine,Jordan; Saudi Arabia
2-s2.0-0033530823,High performance liquid chromatography method for determination of methyl-5-benzoyl-2-benzimidazole carbamate (mebendazole) and its main degradation product in pharmaceutical dosage forms,10.1016/S0039-9140(99)00212-X,1999,Talanta,Jordan; Saudi Arabia
2-s2.0-0033336863,Nonlinear natural frequencies of a cantilever beam partially immersed in fluid and carrying an intermediate mass,,1999,American Society of Mechanical Engineers Pressure Vessels and Piping Division Publication PVP,Jordan; Saudi Arabia
2-s2.0-0242566172,Suitability of Some Date Cultivars for Jelly Making,,1999,Journal of Food Science and Technology,Jordan; Saudi Arabia
2-s2.0-0002466043,On the steady state response of oscillators with static and inertia non-linearities,10.1006/jsvi.1998.2106,1999,Journal of Sound and Vibration,Jordan; Saudi Arabia
2-s2.0-0033122430,Assessing the Quality of Clinical Procedures and Technical Standards of Dental Laboratories in Fixed Partial Denture Therapy,,1999,International Journal of Prosthodontics,Jordan; Saudi Arabia
2-s2.0-0032630374,Linear array pattern synthesis for wide band sector nulling – abstract,10.1163/156939399X01645,1999,Journal of Electromagnetic Waves and Applications,Jordan; Saudi Arabia
2-s2.0-0033378377,Communicating behavioral research to campus design factors affecting the perception and use of outdoor spaces at the University of Jordan,10.1177/00139169921972344,1999,Environment and Behavior,Jordan; Saudi Arabia
2-s2.0-0032659177,Transient conjugate heat transfer in a porous medium in concentric annuli,10.1108/09615539910266602,1999,International Journal of Numerical Methods for Heat and Fluid Flow,Jordan; Saudi Arabia
2-s2.0-0039374758,Representative Salmonella serovars isolated from poultry and poultry environments in Saudi Arabia,10.20506/rst.18.3.1185,1999,OIE Revue Scientifique Et Technique,Jordan; Saudi Arabia
2-s2.0-0032871408,Simultaneous determination of pyridoxine hydrochloride and meclizine hydrochloride in tablet formulations by HPLC,10.1211/146080899128735199,1999,Pharmacy and Pharmacology Communications,Jordan; Saudi Arabia
2-s2.0-0032903702,Modelling the effect of rainfall on instabilities of slopes along highways,10.1007/s002540050390,1999,Environmental Geology,Jordan; Saudi Arabia; United Arab Emirates
2-s2.0-0038137785,Ab initio pseudopotential calculations of the band lineups at strained ZnS/ZnSe interfaces: Including the 3d electrons of Zn as valence states,10.1103/PhysRevB.52.1830,1995,Physical Review B,Jordan; Tunisia
2-s2.0-2842617015,"Transverse interplanar forces and phonon spectra of strained Si, Ge, and Si/Ge superlattices",10.1103/PhysRevB.53.5372,1996,Physical Review B Condensed Matter and Materials Physics,Jordan; Tunisia
2-s2.0-0032487184,The band lineups at highly strained ZnS/CdS and ZnSe/ZnTe interfaces: Effects of the quadratic deformation potentials and the relaxation of the semicore d-electrons,10.1088/0953-8984/10/39/009,1998,Journal of Physics Condensed Matter,Jordan; Tunisia
2-s2.0-17044439090,"Ab initio pseudopotential calculations of the transverse and longitudinal phonon spectra of ge, α-sn, and α-sn/ge superlattices",10.1103/PhysRevB.60.6452,1999,Physical Review B Condensed Matter and Materials Physics,Jordan; Tunisia
2-s2.0-0033157154,Water conservation through Islamic public awareness in the Eastern Mediterranean Region,10.26719/1999.5.4.785,1999,Eastern Mediterranean Health Journal,Jordan; Tunisia
2-s2.0-51249175809,Thermodynamics of simple liquid metals calculated using an analytic pair potential,10.1007/BF02451283,1991,Il Nuovo Cimento D,Jordan; Turkey
2-s2.0-84948890900,Proposed improvements in sand-lime bricks and mortar bonding: Use of cement lime pozzolan mortar improved tensile and shear bonding strength,10.1080/09613219208727188,1992,Building Research Information,Jordan; Turkey
2-s2.0-0026940665,Evaluation and control of collapsible soils,10.1061/(ASCE)0733-9410(1992)118:10(1491),1992,Journal of Geotechnical Engineering,Jordan; Turkey
2-s2.0-0027575896,Effectiveness of oil shale ash in reducing alkali-silica reaction expansions,10.1007/BF02472933,1993,Materials and Structures,Jordan; Turkey
2-s2.0-84937750729,Evaluation and control of collapsible soils,10.1061/(ASCE)0733-9410(1994)120:5(925),1994,Journal of Geotechnical Engineering,Jordan; Turkey
2-s2.0-8244240433,Mapping of the familial infantile myasthenia (congenital myasthenic syndrome type Ia) gene to chromosome 17p with evidence of genetic homogeneity,10.1093/hmg/6.4.635,1997,Human Molecular Genetics,Cyprus; Jordan; Turkey
2-s2.0-0030834316,Periodic stationarity conditions for periodic autoregressive moving average processes as eigenvalue problems,10.1029/97WR01002,1997,Water Resources Research,Jordan; Turkey
2-s2.0-0343106997,ILA: An inductive learning algorithm for rule extraction,10.1016/S0957-4174(97)00089-4,1998,Expert Systems with Applications,Jordan; Turkey
2-s2.0-0031904122,Congenital myasthenic syndrome (CMS) type Ia: Clinical and genetic diversity,10.1111/j.1749-6632.1998.tb10922.x,1998,Annals of the New York Academy of Sciences,Cyprus; Jordan; Turkey
